date,equity,cash,position_value
2023-07-06,9758.824903322486,9758.824903322486,0.0
2023-07-07,9754.399826975663,2379.2725822713946,7375.127244704268
2023-07-10,9761.286033553351,2379.2725822713946,7382.013451281958
2023-07-11,9781.944653286417,2379.2725822713946,7402.672071015022
2023-07-12,9754.399826975663,2379.2725822713946,7375.127244704268
2023-07-13,9937.63975440194,1549.1528682856697,8388.48688611627
2023-07-14,9861.301465966635,9861.301465966635,0.0
2023-07-17,9861.301465966635,9861.301465966635,0.0
2023-07-18,9861.301465966635,9861.301465966635,0.0
2023-07-19,9861.301465966635,9861.301465966635,0.0
2023-07-20,9856.5468669299,1932.2151390402632,7924.3317278896375
2023-07-21,10016.836762816416,1932.2151390402632,8084.621623776154
2023-07-24,10066.927355280954,1932.2151390402632,8134.71221624069
2023-07-25,10177.126658702933,1932.2151390402632,8244.91151966267
2023-07-26,10207.181014181653,1932.2151390402632,8274.96587514139
2023-07-27,10287.325962124913,1932.2151390402632,8355.11082308465
2023-07-28,10577.851398419223,1932.2151390402632,8645.63625937896
2023-07-31,10487.688331983058,1932.2151390402632,8555.473192942794
2023-08-01,10447.615858011428,1932.2151390402632,8515.400718971165
2023-08-02,10137.054184731303,1932.2151390402632,8204.83904569104
2023-08-03,10267.289725139097,1932.2151390402632,8335.074586098834
2023-08-04,10187.439777459113,2247.190484717462,7940.249292741651
2023-08-07,10097.574385301972,2247.190484717462,7850.38390058451
2023-08-08,10113.996370165034,2566.9869844977375,7547.0093856672975
2023-08-09,10274.27816461154,10274.27816461154,0.0
2023-08-10,10269.262179909403,1909.2876763491604,8359.974503560243
2023-08-11,9959.073197359365,9959.073197359365,0.0
2023-08-14,9959.073197359365,9959.073197359365,0.0
2023-08-15,9959.073197359365,9959.073197359365,0.0
2023-08-16,9959.073197359365,9959.073197359365,0.0
2023-08-17,9959.073197359365,9959.073197359365,0.0
2023-08-18,9959.073197359365,9959.073197359365,0.0
2023-08-21,9959.073197359365,9959.073197359365,0.0
2023-08-22,9959.073197359365,9959.073197359365,0.0
2023-08-23,9959.073197359365,9959.073197359365,0.0
2023-08-24,9959.073197359365,9959.073197359365,0.0
2023-08-25,9959.073197359365,9959.073197359365,0.0
2023-08-28,9959.073197359365,9959.073197359365,0.0
2023-08-29,9959.073197359365,9959.073197359365,0.0
2023-08-30,9959.073197359365,9959.073197359365,0.0
2023-08-31,9959.073197359365,9959.073197359365,0.0
2023-09-01,9959.073197359365,9959.073197359365,0.0
2023-09-04,9955.056882066616,3261.1980608186395,6693.858821247977
2023-09-05,9913.220264433818,3261.1980608186395,6652.022203615177
2023-09-06,9821.179705641656,3261.1980608186395,6559.981644823017
2023-09-07,9754.241117429177,3261.1980608186395,6493.043056610537
2023-09-08,9737.506470376058,3261.1980608186395,6476.308409557418
2023-09-11,9971.791529119735,3261.1980608186395,6710.593468301096
2023-09-12,9946.689558540056,3261.1980608186395,6685.491497721417
2023-09-13,9863.671313552157,3619.968151433185,6243.703162118971
2023-09-14,9896.389408724832,3619.968151433185,6276.421257291647
2023-09-15,9839.902530466632,3717.687479691651,6122.215050774982
2023-09-18,9929.996553922512,3348.470225512452,6581.526328410059
2023-09-19,9935.820913505177,3348.470225512452,6587.3506879927245
2023-09-20,9895.05039642653,3348.470225512452,6546.580170914079
2023-09-21,9819.333721851901,3348.470225512452,6470.863496339449
2023-09-22,10014.967849844363,2992.254930294932,7022.712919549431
2023-09-25,10058.969810493169,2992.254930294932,7066.714880198237
2023-09-26,9997.36706558484,2992.254930294932,7005.112135289908
2023-09-27,10243.778045218152,2992.254930294932,7251.52311492322
2023-09-28,10155.611111492337,2388.9231006417995,7766.688010850538
